1,1/362,M2039,30:43,30:42,4:57
2,2/362,M2039,31:36,31:36,5:06
3,3/362,M2039,31:42,31:42,5:07
4,4/362,M2039,32:28,32:27,5:14
5,5/362,M2039,32:52,32:52,5:18
6,6/362,M2039,33:06,33:06,5:20
7,1/256,M4049,33:33,33:33,5:24
8,2/256,M4049,33:42,33:42,5:26
9,3/256,M4049,33:54,33:54,5:28
10,7/362,M2039,33:56,33:56,5:28
11,8/362,M2039,34:13,34:13,5:31
12,4/256,M4049,34:25,34:25*,5:33
13,5/256,M4049,35:22,35:22,5:42
14,9/362,M2039,35:50,35:49,5:46
15,1/448,F2039,36:31,36:31,5:53
16,10/362,M2039,36:42,36:41,5:55
17,2/448,F2039,36:53,36:52,5:56
18,3/448,F2039,37:16,37:16,6:00
19,11/362,M2039,37:35,37:26,6:02
20,12/362,M2039,37:41,37:40,6:04
21,4/448,F2039,37:45,37:44,6:05
22,6/256,M4049,38:09,38:06,6:08
23,7/256,M4049,38:12,38:10,6:09
24,13/362,M2039,38:12,38:11,6:09
25,1/46,M6069,38:13,38:12*,6:09
26,1/171,M5059,38:22,38:21,6:11
27,5/448,F2039,38:31,38:30,6:12
28,8/256,M4049,38:33,38:31,6:12
29,14/362,M2039,38:34,38:32,6:13
30,15/362,M2039,38:41,38:34,6:13
31,9/256,M4049,38:38,38:35,6:13
32,16/362,M2039,38:41,38:40,6:14
33,2/171,M5059,39:01,39:00,6:17
34,17/362,M2039,39:14,39:09,6:18
35,18/362,M2039,39:12,39:10,6:19
36,10/256,M4049,39:13,39:12,6:19
37,19/362,M2039,39:17,39:14,6:19
38,11/256,M4049,39:23,39:22,6:21
39,20/362,M2039,39:40,39:32,6:22
40,6/448,F2039,39:33,39:32,6:22
41,21/362,M2039,39:41,39:34,6:23
42,22/362,M2039,39:57,39:44,6:24
43,12/256,M4049,39:45,39:45,6:24
44,23/362,M2039,39:50,39:46,6:24
45,3/171,M5059,39:47,39:46,6:24
46,13/256,M4049,39:50,39:48,6:25
